File Name,Summary
java.lang.model.yml,"['java.lang', 'AbstractStringBuilder', True, 'insert', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'AbstractStringBuilder', True, 'insert', '', '', 'Argument[1]', 'Argument[this]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'AbstractStringBuilder', True, 'replace', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'AbstractStringBuilder', True, 'replace', '', '', 'Argument[2]', 'Argument[this]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'AbstractStringBuilder', True, 'reverse', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'AbstractStringBuilder', True, 'substring', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'Appendable', True, 'append', '', '', 'Argument[this]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Appendable', True, 'append', '', '', 'Argument[0]', 'Argument[this]', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'AssertionError', False, 'AssertionError', '(Object)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'CharSequence', True, 'charAt', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'CharSequence', True, 'subSequence', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'CharSequence', True, 'toString', '', '', 'Argument[this]', 'ReturnValue', 'taint', 'manual']"
java.lang.model.yml,"['java.lang', 'Class', False, 'cast', '(Object)', '', 'Argument[0]', 'ReturnValue', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Exception', False, 'Exception', '(String)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
java.lang.model.yml,"['java.lang', 'Exception', False, 'Exception', '(String,Throwable)', '', 'Argument[0]', 'Argument[this].SyntheticField[java.lang.Throwable.message]', 'value', 'manual']"
